x,y
540,332
525.0626831054688,312.34844970703125
525.8673706054688,285.98309326171875
517.4929504394531,260.9481658935547
515.3498840332031,233.10569763183594
492.917236328125,214.66256713867188
499.3660888671875,188.9991912841797
498.9482421875,161.09396362304688
490.1600341796875,133.55309295654297
470.4921569824219,119.66062927246094
457.92767333984375,96.12726593017578
436.68994140625,92.1688232421875
414.88153076171875,74.93893814086914
390.9170837402344,79.31750869750977
370.1520080566406,97.94972229003906
345.9059753417969,111.55024719238281
326.9494934082031,115.06555938720703
307.27978515625,111.97260284423828
322.642333984375,89.7661361694336
304.4491882324219,87.47541046142578
277.89208984375,82.11088180541992
256.1636047363281,72.82921600341797
260.78253173828125,45.16008186340332
235.4038543701172,40.97951889038086
208.6212615966797,33.503520011901855
197.37542724609375,47.29696846008301
214.01766967773438,70.76221466064453
192.8477020263672,85.8626937866211
205.77508544921875,104.86630249023438
211.08346557617188,122.56368255615234
198.83863830566406,126.0848159790039
184.80776977539062,145.75650787353516
172.58865356445312,150.8688201904297
162.63674926757812,162.81695556640625
157.6624755859375,141.99374389648438
129.0436019897461,141
108.19580078125,156.77096557617188
115.59632110595703,177.89141845703125
111.21473693847656,206.62644958496094
102.73841857910156,233.96224975585938
84.68843841552734,245.4501953125
103.9827880859375,258.227294921875
90.67401123046875,280.5671081542969
81.76290130615234,298.4502258300781
58.516387939453125,302.04315185546875
44.59875297546387,316.9853210449219
52.970733642578125,344.23388671875
41.81193923950195,367.0038146972656
42.458900451660156,383.45556640625
46.478864669799805,407.1971740722656
57.81577682495117,429.778076171875
46.788814544677734,454.13427734375
52.560577392578125,480.62005615234375
56.105098724365234,504.4557189941406
64.63249969482422,526.5261535644531
82.44892883300781,541.156982421875
109.45503234863281,546.9636840820312
131.4748992919922,555.746337890625
159.35745239257812,563.7278442382812
144.51641082763672,586.4393310546875
130.66680908203125,611.4195556640625
122.6321029663086,639.3834228515625
117.22815704345703,668.0169677734375
127.73661804199219,689.2828979492188
154.635986328125,686.1691284179688
175.51429748535156,686.3428955078125
186.16036987304688,674.2149047851562
211.29583740234375,681.5234985351562
212.90113830566406,672.6448364257812
237.71681213378906,687.97216796875
263.6999969482422,698.590087890625
284.4844665527344,715.0823974609375
293.43646240234375,691.4788208007812
318.7261047363281,699.5635986328125
346.10491943359375,702.1339111328125
370.173095703125,686.828125
399.1070861816406,684.85009765625
422.6655578613281,681.2861328125
443.1532897949219,694.6134643554688
446.23541259765625,677.795166015625
440.6780090332031,653.3363647460938
441.8604431152344,630.0988159179688
466.5060119628906,614.8057250976562
480.7787780761719,599.97607421875
490.922119140625,579.669189453125
470.84765625,562.8882446289062
451.4901123046875,541.154541015625
427.2917175292969,528.4013061523438
412.4823303222656,503.34405517578125
408.6451416015625,476.60784912109375
389.91070556640625,456.73211669921875
395.9107360839844,453.1624450683594
412.7138366699219,434.9665832519531
437.5538330078125,427.93865966796875
461.1761169433594,413.793701171875
485.50421142578125,400.3052673339844
510.49798583984375,386.5573425292969
518.3834533691406,374
536.9722900390625,386.751953125
546.4845581054688,359.67938232421875
